Meal_name,Street Food / Snacks,Prawn Stir-Fry with Rice,Fried Rice and BBQ Chicken,Grilled Fish with Plantain and Veggies,Ofada Rice and Stew with Assorted Meats,Chicken Suya Skewers,Egusi Soup with Pounded Yam,Grilled Beef Skewers with Spicy Sauce,Special Fried Rice,Coconut Candy,Pounded yam with Efo Riro,Ofada Rice with Sauce,Semovita with Egusi and Fish,Veggie Stir-Fry with Rice or Noodles,Spring Rolls,Okra Soup with Garri,Grilled Plantain with Spicy Sauce,Deep Fried Potatoes,Nigerian Puff Puff (Deep-Fried Dough Balls),Moi Moi (Steamed Bean Pudding),Bean Porridge with Plantain,Beef Suya Skewers,Okra Soup with Fufu,Chin Chin,Ogbono Soup with Eba,Chinese Fried Rice,Akara (Bean Cake),Fried Rice with Beef Stir-Fry,Grilled Fish with Plantain,Nigerian Salad,"Suya Platter (Beef, Chicken, and Innards)",Barbecue Ribs with Coleslaw,"Amala with Ewedu, Stew, Gbegiri Soup and Beef",Peppered Snails,Coconut Rice with Grilled Fish,Efo Riro and Semo,BBQ Chicken Wings with French Fries,Pounded Yam with Egusi Soup,Plantain Chips with Suya Dip,Jollof Rice with Grilled Chicken,Suya (Beef Skewers),"Assorted Suya Platter (Turkey, Beef, Chicken, Fish)",Fisherman's Soup with Eba,Vegetable Stir-Fry with Rice,Chicken Wings,Nkwobi,Smokey Jollof Rice,Turkey Suya,Coconut Rice with Sauce and Fried Plantain,White Rice and Beans with Beef Stir-Fry,Plantain and Beans Porridge,Chocolate Cake,Vegetable Soup with Amala,Jollof Spaghetti with Grilled Chicken,Vegetable Stir-Fry,Donut,Bread and Ewa Agoyin,Garri with Afang Soup,Fruit Salad,Plantain Mosa (Sweet Plantain Fritters),Plantain Chips,Fish Suya Skewers,"Amala with Stew, Ewedu and Assorted meats",Veggie Suya Skewers,White Rice with Beans and Assorted meats,Starch with Banga Soup,Afang Soup with Fufu,Sweet Plantain Fritters,Coconut Curry Shrimp,Chocolate Bread,Salad,Ofada Rice with Assorted Meats,Stir Fry Pasta,White Rice and Beans with Grilled Turkey
Street Food / Snacks,1.0,0.17891718961355582,0.2095832007377212,0.18214774865478672,0.1964378386825746,0.1965613640948909,0.3083577985161921,0.15935017232714244,0.21178735837920576,0.2301093669845983,0.1841090586040815,0.22321398603363218,0.2141559501912573,0.15767613315544493,0.35231589398946067,0.19438074679358117,0.18336439527243573,0.20475632520200726,0.124510188177967,0.11759181162946823,0.20213918506312334,0.1965613640948909,0.199547612720982,0.17000451504416866,0.3182449240343038,0.20228218559928257,0.16443377171945034,0.1774526372717738,0.19543024209226045,0.23301908877804273,0.1742508071887639,0.1727328545390473,0.1706947113616504,0.3320355230228012,0.1876545138693993,0.17171365145028683,0.1519165460826882,0.1880222514738115,0.171106095228149,0.20863021925369107,0.18541362330309616,0.13492968532779087,0.17967136574885628,0.19634217206006258,0.37591818708041325,0.2579078326041827,0.19795473384627815,0.41006803513029394,0.21363293501652625,0.18982697640642845,0.203877412067611,0.2073140509920449,0.209766344726708,0.2128897156690989,0.18841436678776985,0.4232886912725556,0.20451072848354457,0.2035571086862286,0.2052277599702014,0.14657409495422413,0.3802043079204399,0.17251085091778876,0.19104073123191415,0.18603143683345313,0.2090162361817738,0.196813784355304,0.32355278497239753,0.21473002549430076,0.16278334385379678,0.2073140509920449,0.280056419269265,0.17952511994358278,0.21530668681300183,0.17998967583778328
Prawn Stir-Fry with Rice,0.17891718961355582,1.0000000000000002,0.25437607082413016,0.19022941589703085,0.26676921318201086,0.1957498846551691,0.20143754174903555,0.1679234911451823,0.3203145451895983,0.209879925299762,0.178021318897457,0.3421121609524755,0.20707468166881696,0.4223940479960051,0.19579279452025233,0.2225243227074197,0.31067917750621515,0.18675572750989944,0.12360273271596232,0.11710634828393066,0.2130146278308104,0.1957498846551691,0.2102836243502855,0.1550590286073863,0.20789639658882317,0.2758353847145656,0.16375492709725986,0.5364199530500904,0.22372577004402874,0.38057532084937884,0.1882651777542944,0.19774212261072568,0.17826822169830697,0.21232145792193166,0.32686434491284316,0.17021630869473164,0.16008992276802034,0.19813817844916048,0.18031190332159244,0.30947056415688656,0.18464816594148492,0.13437264470103386,0.4858779895221959,0.53877479645373,0.24038240491154247,0.2352345641140823,0.24510789901993982,0.22788743826581676,0.318204032183698,0.49123143437154043,0.2202745447337551,0.22680280882445597,0.21793747822710263,0.2660694171308463,0.5746579083542567,0.2352345641140824,0.18712986557591593,0.19682630085683395,0.22452039399769871,0.1459689818130996,0.24312318221542614,0.17179866106657712,0.18444161175458615,0.3126389681842109,0.31132750734223397,0.19030595090639496,0.21136380511379096,0.19585261695746728,0.44915288112238183,0.22680280882445597,0.2554360177779565,0.25094405939427517,0.45784128189330114,0.3008885139873286
Fried Rice and BBQ Chicken,0.2095832007377212,0.25437607082413016,1.0,0.2044713042258526,0.28419414380534913,0.34142461159327037,0.18057017302903167,0.17103800809826392,0.48879653710646415,0.24585288093294097,0.2040712087441704,0.3779286828647258,0.49342654276382414,0.22530344233385965,0.2293512470521636,0.29985446743173116,0.1968135990411988,0.3472586721097552,0.21606824404644104,0.18711591245406234,0.21696546082689114,0.21226236914499402,0.21418380477488247,0.1816358036307746,0.1863599405463641,0.4384682146545873,0.26165236173500256,0.51901629251333,0.20947065018532557,0.2501103087083411,0.2989347834625554,0.18514260106979852,0.1916146123920533,0.2092466006556816,0.4246277971650608,0.1943029698457665,0.4271666057825028,0.20181309439822853,0.2655071057756538,0.42283307836589895,0.20022416478079197,0.2343711624996837,0.19257959975985145,0.37158218691806544,0.37883841642306754,0.2755532488390747,0.5510856866832862,0.2669468418480627,0.46844324969035867,0.27334216308757936,0.32324457150477115,0.22351823141270796,0.23379759310551973,0.4058135087720027,0.2034646028200078,0.2755532488390747,0.22817183746811293,0.22562792690932934,0.22126887071002913,0.15828219748845151,0.2396022517793522,0.1862907397272203,0.21911370552835951,0.20089132826048833,0.3529341191607452,0.21815345304259245,0.18946815241133913,0.2294213229229871,0.1755068937562923,0.22351823141270796,0.2992171870418507,0.2565234617265313,0.23003743798333035,0.3972505629134182
Grilled Fish with Plantain and Veggies,0.18214774865478672,0.19022941589703085,0.2044713042258526,1.0000000000000002,0.30468890775891255,0.3176386980845639,0.1873627576023913,0.5725407686022487,0.20662170075614394,0.2136695527341884,0.18753533864413297,0.22736801099473974,0.31692440133944233,0.1974985281071011,0.19932806233834988,0.20667067263932695,0.4550653239844442,0.190127820517351,0.14878197684383038,0.11950825796603973,0.3524725765461948,0.3176386980845639,0.249944991743469,0.1578588006576517,0.1933703212532814,0.31178243693790175,0.16711362242549554,0.22226974982540906,0.8602712284074934,0.23496476602231517,0.4196712160349986,0.4243247243569526,0.2647595061817265,0.19683479880635474,0.5138316554857195,0.21315251820959547,0.40536534984401806,0.29277395186071586,0.2664333997424699,0.4116648584163546,0.22541733898745994,0.29895791645499864,0.1910312756066069,0.20875611106798964,0.2228489893129342,0.23948199919592175,0.1838121585262567,0.23200221240050298,0.30492334169107527,0.20884912398195554,0.31121421123379395,0.21025988461370013,0.26268032634151656,0.37870394998178475,0.19148503997482505,0.2394819991959219,0.1995225534967382,0.20734531804317305,0.20814394839314815,0.3321086855789014,0.34009004412115273,0.3822248931432039,0.2012127172878209,0.18906327434549003,0.22014533009901874,0.20047650006335466,0.19659545603864031,0.2993651999174215,0.1650964174012738,0.21025988461370013,0.2600482137244218,0.22486565491908767,0.19992442756618967,0.3809343021355588
Ofada Rice and Stew with Assorted Meats,0.1964378386825746,0.26676921318201086,0.28419414380534913,0.30468890775891255,1.0,0.36369911447378217,0.20206198223605465,0.2675944260481763,0.3515340960778733,0.23043263197792674,0.2022481028281986,0.5499111254836863,0.2352553153220665,0.2364407524883414,0.21496600448650108,0.22288466671792925,0.22924438286915935,0.20504397343192424,0.135399628295622,0.14153133707014284,0.23237894346881893,0.36369911447378217,0.22939967528486074,0.1702433428204636,0.20854085901627467,0.43366618758936526,0.1979094568614367,0.32819327277732385,0.3259617465365966,0.2768433650482094,0.2868576564971613,0.2881043504168567,0.4506500115972022,0.2122771362292301,0.3470613342528897,0.19640144280863764,0.25511124564559967,0.33466058736864884,0.21391890801619082,0.3110719520942035,0.20321876836467373,0.36107646968754026,0.2060183075447029,0.2927502207476068,0.2403322255505603,0.2582701497704879,0.2638987591897307,0.2502035490974087,0.3565361921338438,0.28492223046204873,0.2326230324437648,0.22675546417782944,0.24694044038342144,0.295118965728804,0.22677205908455292,0.25827014977048796,0.2151757541160123,0.22361224027284501,0.2244735258007422,0.16064950633143024,0.24307243072249549,0.31919825142050484,0.5571535592787574,0.22390400851278658,0.5681131574281522,0.21620454092863425,0.2120190162341088,0.21503168509716022,0.17804877440460276,0.22675546417782944,0.2804498514780145,0.6888964979034584,0.21560915652811266,0.3290076101851789
Chicken Suya Skewers,0.1965613640948909,0.1957498846551691,0.34142461159327037,0.3176386980845639,0.36369911447378217,1.0000000000000002,0.1856409587943707,0.30630252780068046,0.2144947032314271,0.23057753423335312,0.18760691729463194,0.22745479301412488,0.34320378599465123,0.1724192228146001,0.2151011809093138,0.21266826762824495,0.22215275965855755,0.2051729106139406,0.13615218390078423,0.1431284706505526,0.22103967475281017,0.8508673041969809,0.21820578429546808,0.17035039642712632,0.19159331501735158,0.24621050958807722,0.20014279857909048,0.194044876624651,0.35032318700461323,0.28231126085439273,0.4189405366281006,0.1889837216044376,0.20557419777918812,0.2118640170280504,0.3383901655943803,0.1879648751200507,0.2739452631617733,0.22779592504893179,0.3206824674589338,0.3739851239600896,0.49786719255058776,0.6692959228423668,0.19657501438034325,0.2148142256018906,0.4037474216392381,0.2584325570080819,0.19835748113265442,0.40730504660278666,0.21943879860672322,0.20827819425731112,0.2232834153514768,0.2263141682479506,0.23044193620767173,0.34117453356634464,0.22933110556966532,0.2584325570080819,0.20712505387209107,0.20742445778376858,0.22403667082280124,0.15991066016227634,0.242599379831605,0.8776437409872088,0.2995044719961956,0.5229986486386985,0.3276856042822584,0.20055301810755397,0.19478881193176867,0.21516690282171275,0.17770226809327944,0.2263141682479506,0.28062620591038956,0.32373074227428084,0.21574473738227962,0.1973980140760815
Egusi Soup with Pounded Yam,0.3083577985161921,0.20143754174903555,0.18057017302903167,0.1873627576023913,0.20206198223605465,0.1856409587943707,1.0000000000000002,0.166779188156499,0.1824692046561143,0.19865244767221654,0.5094281033475931,0.2120485107557225,0.35140003082621635,0.16502710411466495,0.18531890466646533,0.3022977788707211,0.19191297087248416,0.1767652734469936,0.11677572520561064,0.11105873607349952,0.21156305441724121,0.1856409587943707,0.29590089424825117,0.14676418205571218,0.6243764365078935,0.19104394729140847,0.155298286521033,0.18572560260341223,0.22002909634067466,0.21854414869177496,0.17659226818416135,0.19447478284670727,0.2434750069753272,0.20005404914789515,0.19640309778133838,0.16053638549556515,0.15899900108796106,0.75276636955699,0.17908318035699133,0.23489055798270647,0.17511255562363962,0.12743336550097187,0.2794219884864738,0.2210558111653269,0.22649370401433927,0.22265074599977658,0.17089348826680908,0.2156966529342813,0.20125802675380133,0.2090468953037449,0.20661697474683438,0.21369870340722477,0.38802151408284147,0.2022406748116573,0.17794658610646574,0.2226507459997766,0.1761998934007142,0.35498682928643654,0.21154816086481298,0.13843084396068542,0.22907612598346577,0.16292662555674375,0.25699602691079815,0.1756960451443791,0.19690875496419175,0.3432270271427792,0.6347901243555887,0.18537552691636142,0.16779658374040285,0.21369870340722477,0.2417715276139962,0.187894705858369,0.18587335620483852,0.18514289775187598
Grilled Beef Skewers with Spicy Sauce,0.15935017232714244,0.1679234911451823,0.17103800809826392,0.5725407686022487,0.2675944260481763,0.30630252780068046,0.166779188156499,1.0,0.17283679126030702,0.18692671361964489,0.15901723989400468,0.33230994371644,0.18496910670497962,0.17642421883929243,0.17438020133561913,0.18243687866709468,0.6548427050169426,0.1663314599679391,0.13243102692745562,0.10424402786731429,0.22617403856812693,0.4194027745997072,0.22327432180771506,0.13810122427495503,0.172126764170619,0.28122379480740367,0.145768982073871,0.2940699648502407,0.6153202827157371,0.20612498153313938,0.46916806459942817,0.3930431679953548,0.31629933789680287,0.1719502715074408,0.3764512856891507,0.18152835573079606,0.3763505227164519,0.2653245966293366,0.16081758992607173,0.3779662928900909,0.43110110954185604,0.1972516319903438,0.16863132637248263,0.184277782713706,0.1946756592324706,0.20950847936882183,0.16080626498708736,0.20296486121475268,0.3080976151248378,0.2686283382062081,0.180086602134199,0.18367811213106328,0.22707603975266893,0.33917311739784434,0.1670275525979281,0.20950847936882186,0.16689843227618367,0.1758147580000195,0.18182967979174774,0.15798773864370394,0.19689530017765242,0.2688244963728274,0.16490886337415822,0.28989369103569607,0.18042555487100642,0.1699904665124418,0.17499758742322563,0.17443348137930764,0.14422436464084365,0.18367811213106328,0.22750063053970765,0.20087110467665067,0.17490192560906206,0.34282485521484124
Special Fried Rice,0.21178735837920576,0.3203145451895983,0.48879653710646415,0.20662170075614394,0.3515340960778733,0.2144947032314271,0.1824692046561143,0.17283679126030702,1.0,0.2484384818030578,0.20621739752541415,0.6365659124543444,0.2398724052356015,0.284324785576218,0.23176330251269014,0.21053689898720465,0.19888346054129882,0.35091074371190845,0.21834060399476132,0.12832033830276152,0.21924725668045422,0.2144947032314271,0.21643634633506034,0.18354604234805139,0.1883198623605936,0.5207703131528683,0.1794359396547579,0.5662099196163299,0.21167362414816027,0.25274068435969627,0.19883330876201236,0.18708972029250287,0.19362979686598739,0.21144721832048713,0.4732281396397954,0.19634642740458416,0.16477401926102603,0.2039355349020654,0.18558767795744965,0.5108598252255615,0.20232989473079757,0.14724003847227382,0.19460493287295688,0.351510403672201,0.23939262356809762,0.27845120438573434,0.3485661975317544,0.26975428499836535,0.699136924113674,0.451605245598636,0.23263949864705846,0.225868941851547,0.23625641017478066,0.4813378665135981,0.20560441201033786,0.27845120438573434,0.23057148924056717,0.22800082472498917,0.22359592493232108,0.1599468295480685,0.2421221156440008,0.1882499337659707,0.2214180941754188,0.20300407467687442,0.5775340761998471,0.22044774284658222,0.19146076286143937,0.23183411536179052,0.17735267557298595,0.225868941851547,0.3023640129656859,0.3237233195158515,0.23245671001932242,0.4400251174649882
Coconut Candy,0.2301093669845983,0.209879925299762,0.24585288093294097,0.2136695527341884,0.23043263197792674,0.23057753423335312,0.19865244767221654,0.18692671361964489,0.2484384818030578,1.0000000000000004,0.21597027960418208,0.261842558648436,0.2512169732026419,0.1849629715272075,0.25181345685404866,0.22801954750611494,0.21509674763804273,0.24019068447739086,0.23170969152151225,0.1379418081290193,0.23712063191265725,0.23057753423335312,0.23408057181137615,0.31028629587208917,0.20502200178781374,0.2372883795835869,0.19289006159652733,0.2081619230398633,0.22925066451261952,0.27334449558360824,0.20440599628907935,0.20262535246486538,0.20023449589738737,0.2276633017736872,0.4154001228819997,0.20142976992415837,0.17820665198519706,0.22056067490916326,0.200717072308054,0.24473498005873018,0.2175006073617849,0.15828010901849932,0.21076461631956636,0.23032040964965375,0.2577518660906304,0.3025403917762421,0.2322120353115768,0.2930910902208567,0.41991694040581723,0.22267771874861989,0.23915966994273066,0.3930567400059088,0.2460677191316108,0.24973160889809062,0.2210206482240819,0.3025403917762421,0.2399025857148505,0.23878393606325837,0.38910123991401735,0.2797237678451148,0.2606906854475415,0.2023649297321661,0.22410152141763887,0.21822533737727756,0.24518779962405782,0.23087363739434122,0.2084414696019241,0.39191773351334463,0.36895729019220025,0.3930567400059088,0.5111491829948418,0.2105930617654594,0.2525668519746764,0.21113801195489035
